Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-11-25,FlyDubai,Chennai,Dubai,Business,First Flyer,25.424512404334475
2021-11-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.629444232326417
2021-11-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.014225363189837
2021-11-28,FlyDubai,Chennai,Dubai,Business,First Flyer,28.532376491472178
2021-11-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.570733768541047
2021-11-30,FlyDubai,Chennai,Dubai,Business,First Flyer,28.435297422131853
2021-12-01,FlyDubai,Chennai,Dubai,Business,First Flyer,28.10800063116305
2021-12-02,FlyDubai,Chennai,Dubai,Business,First Flyer,25.473920828984053
2021-12-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.678852656975945
2021-12-04,FlyDubai,Chennai,Dubai,Business,First Flyer,27.06363378783931
