Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-06-07,FlyDubai,Chennai,Dubai,Business,First Flyer,325111.9335492208
2021-06-08,FlyDubai,Chennai,Dubai,Business,First Flyer,335784.9882558359
2021-06-09,FlyDubai,Chennai,Dubai,Business,First Flyer,331744.5257743156
2021-06-10,FlyDubai,Chennai,Dubai,Business,First Flyer,299226.82701944816
2021-06-11,FlyDubai,Chennai,Dubai,Business,First Flyer,314101.7268391446
2021-06-12,FlyDubai,Chennai,Dubai,Business,First Flyer,318851.86630263535
2021-06-13,FlyDubai,Chennai,Dubai,Business,First Flyer,337593.4583843191
2021-06-14,FlyDubai,Chennai,Dubai,Business,First Flyer,325721.9789766601
2021-06-15,FlyDubai,Chennai,Dubai,Business,First Flyer,336395.0172871423
2021-06-16,FlyDubai,Chennai,Dubai,Business,First Flyer,332354.53840946726
2021-06-17,FlyDubai,Chennai,Dubai,Business,First Flyer,299836.82325862953
2021-06-18,FlyDubai,Chennai,Dubai,Business,First Flyer,314711.7066820819
2021-06-19,FlyDubai,Chennai,Dubai,Business,First Flyer,319461.82974951854
2021-06-20,FlyDubai,Chennai,Dubai,Business,First Flyer,338203.4054351172
2021-06-21,FlyDubai,Chennai,Dubai,Business,First Flyer,326331.9260274478
2021-06-22,FlyDubai,Chennai,Dubai,Business,First Flyer,337004.96433794434
2021-06-23,FlyDubai,Chennai,Dubai,Business,First Flyer,332964.4854602896
2021-06-24,FlyDubai,Chennai,Dubai,Business,First Flyer,300446.7703093823
2021-06-25,FlyDubai,Chennai,Dubai,Business,First Flyer,315321.6537328703
2021-06-26,FlyDubai,Chennai,Dubai,Business,First Flyer,320071.776822041
2021-06-27,FlyDubai,Chennai,Dubai,Business,First Flyer,338813.352529312
2021-06-28,FlyDubai,Chennai,Dubai,Business,First Flyer,326941.8731433724
2021-06-29,FlyDubai,Chennai,Dubai,Business,First Flyer,337614.9114755885
2021-06-30,FlyDubai,Chennai,Dubai,Business,First Flyer,333574.43261968094
2021-07-01,FlyDubai,Chennai,Dubai,Business,First Flyer,301056.7174905437
2021-07-02,FlyDubai,Chennai,Dubai,Business,First Flyer,315931.6009358022
2021-07-03,FlyDubai,Chennai,Dubai,Business,First Flyer,320681.72402489494
2021-07-04,FlyDubai,Chennai,Dubai,Business,First Flyer,339423.29973225377
2021-07-05,FlyDubai,Chennai,Dubai,Business,First Flyer,327551.8203463038
2021-07-06,FlyDubai,Chennai,Dubai,Business,First Flyer,338224.8586785538
2021-07-07,FlyDubai,Chennai,Dubai,Business,First Flyer,334184.3798072092
2021-07-08,FlyDubai,Chennai,Dubai,Business,First Flyer,301666.66466266976
2021-07-09,FlyDubai,Chennai,Dubai,Business,First Flyer,316541.54809256585
2021-07-10,FlyDubai,Chennai,Dubai,Business,First Flyer,321291.6711662987
2021-07-11,FlyDubai,Chennai,Dubai,Business,First Flyer,340033.2468582697
2021-07-12,FlyDubai,Chennai,Dubai,Business,First Flyer,328161.7674569241
2021-07-13,FlyDubai,Chennai,Dubai,Business,First Flyer,338834.8057737645
2021-07-14,FlyDubai,Chennai,Dubai,Business,First Flyer,334794.3269025101
2021-07-15,FlyDubai,Chennai,Dubai,Business,First Flyer,302276.6117579727
2021-07-16,FlyDubai,Chennai,Dubai,Business,First Flyer,317151.4951878145
2021-07-17,FlyDubai,Chennai,Dubai,Business,First Flyer,321901.61826152075
2021-07-18,FlyDubai,Chennai,Dubai,Business,First Flyer,340643.1939534424
2021-07-19,FlyDubai,Chennai,Dubai,Business,First Flyer,328771.7145533934
2021-07-20,FlyDubai,Chennai,Dubai,Business,First Flyer,339444.75287153176
2021-07-21,FlyDubai,Chennai,Dubai,Business,First Flyer,335404.2740014745
2021-07-22,FlyDubai,Chennai,Dubai,Business,First Flyer,302886.5588582053
2021-07-23,FlyDubai,Chennai,Dubai,Business,First Flyer,317761.4422892827
2021-07-24,FlyDubai,Chennai,Dubai,Business,First Flyer,322511.56536425016
2021-07-25,FlyDubai,Chennai,Dubai,Business,First Flyer,341253.1410574481
2021-07-26,FlyDubai,Chennai,Dubai,Business,First Flyer,329381.6616573193
2021-07-27,FlyDubai,Chennai,Dubai,Business,First Flyer,340054.69997542753
2021-07-28,FlyDubai,Chennai,Dubai,Business,First Flyer,336014.22110538254
2021-07-29,FlyDubai,Chennai,Dubai,Business,First Flyer,303496.5059621125
2021-07-30,FlyDubai,Chennai,Dubai,Business,First Flyer,318371.38939319365
2021-07-31,FlyDubai,Chennai,Dubai,Business,First Flyer,323121.512468147
2021-08-01,FlyDubai,Chennai,Dubai,Business,First Flyer,341863.08816123725
2021-08-02,FlyDubai,Chennai,Dubai,Business,First Flyer,329991.60876110534
2021-08-03,FlyDubai,Chennai,Dubai,Business,First Flyer,340664.64707911323
2021-08-04,FlyDubai,Chennai,Dubai,Business,First Flyer,336624.1682089872
2021-08-05,FlyDubai,Chennai,Dubai,Business,First Flyer,304106.4530656021
2021-08-06,FlyDubai,Chennai,Dubai,Business,First Flyer,318981.3364966009
2021-08-07,FlyDubai,Chennai,Dubai,Business,First Flyer,323731.4595715536
2021-08-08,FlyDubai,Chennai,Dubai,Business,First Flyer,342473.03526465426
2021-08-09,FlyDubai,Chennai,Dubai,Business,First Flyer,330601.5558644594
2021-08-10,FlyDubai,Chennai,Dubai,Business,First Flyer,341274.5941824758
2021-08-11,FlyDubai,Chennai,Dubai,Business,First Flyer,337234.11530492967
2021-08-12,FlyDubai,Chennai,Dubai,Business,First Flyer,304716.40015418635
2021-08-13,FlyDubai,Chennai,Dubai,Business,First Flyer,319591.2835778271
2021-08-14,FlyDubai,Chennai,Dubai,Business,First Flyer,324341.4066453723
2021-08-15,FlyDubai,Chennai,Dubai,Business,First Flyer,343082.9823310468
2021-08-16,FlyDubai,Chennai,Dubai,Business,First Flyer,331211.5029234513
2021-08-17,FlyDubai,Chennai,Dubai,Business,First Flyer,341884.54123410216
2021-08-18,FlyDubai,Chennai,Dubai,Business,First Flyer,337844.06235664623
2021-08-19,FlyDubai,Chennai,Dubai,Business,First Flyer,305326.34720580216
2021-08-20,FlyDubai,Chennai,Dubai,Business,First Flyer,320201.2306294656
2021-08-21,FlyDubai,Chennai,Dubai,Business,First Flyer,324951.3536969719
2021-08-22,FlyDubai,Chennai,Dubai,Business,First Flyer,343692.929382708
